#,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious critical,TotÿCases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop,Population
93,Qatar,495558,,688,,494371,499,26,166299,231,4065369,1364257,2979915
94,R‚union,486588,,921,,418572,67095,10,535854,1014,1603660,1766027,908061
95,Honduras,472308,,11111,,N/A,N/A,105,46208,1087,1639169,160369,10221247
96,Armenia,447308,,8727,,435162,3419,,150509,2936,3242901,1091164,2971966
97,Bosnia and Herzegovina,401729,,16280,,379084,6365,,123635,5010,1884721,580036,3249317
98,Oman,399449,,4628,,384669,10152,2,75028,869,25000000,4695724,5323993
99,North Macedonia,346852,,9662,,337068,122,,166651,4642,2226216,1069626,2081304
100,Zambia,343135,,4057,,338854,224,,17624,208,3943335,202531,19470234
101,Kenya,342938,,5688,,337225,25,1,6100,101,3967062,70569,56215221
102,Albania,334497,,3598,,329219,1680,,116697,1255,1941032,677173,2866374
103,Botswana,329769,,2801,,326962,6,1,135087,1147,2026898,830300,2441162
104,Luxembourg,297757,,1133,,288991,7633,,463528,1764,4412567,6869188,642371
105,Montenegro,289009,,2808,,285561,640,6,460242,4472,2725218,4339865,627950
106,Brunei,279661,,225,,243601,35835,3,627844,505,717784,1611437,445431
107,Algeria,271532,,6881,,182829,81822,,5987,152,230861,5091,45350148
108,Nigeria,266628,,3155,,259938,3535,11,1230,15,5708974,26339,216746934
109,Zimbabwe,264276,,5671,,258184,421,12,17238,370,2525756,164744,15331428
110,Uzbekistan,251247,,1637,,241486,8124,23,7307,48,1377915,40077,34382084
111,Mozambique,233214,,2242,,228805,2167,11,7048,68,1371127,41437,33089461
112,Martinique,229807,,1098,,N/A,N/A,12,614314,2935,828928,2215870,374087
113,Laos,218023,,758,,N/A,N/A,,29143,101,1233207,164845,7481023
114,Afghanistan,209557,,7896,,191371,10290,45,5142,194,1207332,29625,40754388
115,Iceland,209137,,229,,N/A,N/A,2,605504,663,1996384,5780036,345393
116,Kyrgyzstan,206708,,2991,,196406,7311,131,30722,445,1907195,283460,6728271
117,Guadeloupe,201886,,1010,,N/A,N/A,19,504975,2526,938039,2346306,399794
118,El Salvador,201785,,4230,,179410,18145,8,30805,646,2610114,398467,6550389
119,Trinidad and Tobago,189918,,4355,,185101,462,8,135021,3096,900861,640460,1406585
120,Maldives,185744,,311,,163687,21746,25,343344,575,2213831,4092223,540985
121,Ghana,171281,,1462,,169768,51,2,5287,45,2531801,78153,32395450
